Interface: 192.168.1.1 --- 0xF

Internet Address      Physical Address        Type
192.168.1.10         A1:B2:C3:D4:E5:F6       dynamic
192.168.1.15         B2:C3:D4:E5:F6:A1       static
192.168.1.20         C3:D4:E5:F6:A1:B2       dynamic
192.168.1.25         D4:E5:F6:A1:B2:C3       dynamic
192.168.1.30         E5:F6:A1:B2:C3:D4       dynamic
192.168.1.35         F6:A1:B2:C3:D4:E5       dynamic
192.168.1.40         12:34:56:78:9A:BC       dynamic
192.168.1.45         23:45:67:89:AB:CD       static
192.168.1.50         34:56:78:9A:BC:DE       dynamic
192.168.1.55         45:67:89:AB:CD:EF       static
192.168.1.60         56:78:9A:BC:DE:F0       dynamic
192.168.1.65         67:89:AB:CD:EF:01       static
192.168.1.70         78:9A:BC:DE:F0:12       dynamic
192.168.1.75         89:AB:CD:EF:01:23       dynamic
192.168.1.80         9A:BC:DE:F0:12:34       dynamic
192.168.1.85         AB:CD:EF:01:23:45       static
192.168.1.90         BC:DE:F0:12:34:56       dynamic
192.168.1.95         CD:EF:01:23:45:67       dynamic
192.168.1.100        DE:F0:12:34:56:78       static
192.168.1.105        EF:01:23:45:67:89       dynamic
192.168.1.110        F0:12:34:56:78:9A       dynamic
192.168.1.115        01:23:45:67:89:AB       dynamic
192.168.1.120        12:34:56:78:9A:BC       static
192.168.1.125        23:45:67:89:AB:CD       dynamic
192.168.1.130        34:56:78:9A:BC:DE       dynamic
192.168.1.135        45:67:89:AB:CD:EF       dynamic
192.168.1.140        56:78:9A:BC:DE:F0       static
192.168.1.145        67:89:AB:CD:EF:01       dynamic
192.168.1.150        78:9A:BC:DE:F0:12       dynamic
192.168.1.155        89:AB:CD:EF:01:23       static
192.168.1.160        9A:BC:DE:F0:12:34       dynamic
192.168.1.165        AB:CD:EF:01:23:45       dynamic
192.168.1.170        BC:DE:F0:12:34:56       dynamic
192.168.1.175        CD:EF:01:23:45:67       static
192.168.1.180        DE:F0:12:34:56:78       dynamic
192.168.1.185        EF:01:23:45:67:89       dynamic
192.168.1.190        F0:12:34:56:78:9A       dynamic
192.168.1.195        01:23:45:67:89:AB       static
192.168.1.200        12:34:56:78:9A:BC       dynamic
192.168.1.205        23:45:67:89:AB:CD       dynamic
192.168.1.210        34:56:78:9A:BC:DE       static
192.168.1.215        45:67:89:AB:CD:EF       dynamic
192.168.1.220        56:78:9A:BC:DE:F0       dynamic
192.168.1.225        67:89:AB:CD:EF:01       static
192.168.1.230        78:9A:BC:DE:F0:12       dynamic
192.168.1.235        89:AB:CD:EF:01:23       dynamic
192.168.1.240        9A:BC:DE:F0:12:34       static
192.168.1.245        AB:CD:EF:01:23:45       dynamic
192.168.1.250        BC:DE:F0:12:34:56       dynamic
192.168.1.255        CD:EF:01:23:45:67       static
224.0.0.22           01-00-5E-00-00-16       static
224.0.0.252          01-00-5E-00-00-FC       static
239.255.255.250      01-00-5E-7F-FF-FA       static
